0.420, 1.310, 0.3469, 3
0.440, 1.370, 0.3500, 3
0.450, 1.400, 0.3501, 3
0.460, 1.430, 0.3470, 3
0.400, 1.250, 0.3427, 3
0.490, 1.520, 0.3478, 3
0.430, 1.340, 0.3493, 3
0.420, 1.320, 0.3478, 2
0.480, 1.490, 0.3509, 5
0.440, 1.380, 0.3497, 3
0.400, 1.260, 0.3441, 2
0.460, 1.440, 0.3495, 3
0.450, 1.410, 0.3492, 3
0.490, 1.530, 0.3509, 3
0.470, 1.470, 0.3513, 3
0.430, 1.350, 0.3476, 3
0.420, 1.330, 0.3513, 2
0.410, 1.290, 0.3485, 3
0.480, 1.500, 0.3468, 3
0.440, 1.390, 0.3527, 2
0.400, 1.270, 0.3451, 2
0.460, 1.450, 0.3493, 2
0.490, 1.540, 0.3495, 2
0.450, 1.420, 0.3507, 3
0.430, 1.360, 0.3472, 3
0.420, 1.340, 0.3484, 2
0.470, 1.480, 0.3475, 3
0.410, 1.300, 0.3467, 3
0.400, 1.280, 0.3473, 2
0.440, 1.400, 0.3519, 3
0.480, 1.510, 0.3477, 4
0.460, 1.460, 0.3467, 4
0.450, 1.430, 0.3504, 3
0.430, 1.370, 0.3480, 3
0.490, 1.550, 0.3463, 3
0.410, 1.310, 0.3480, 3
0.480, 1.520, 0.3501, 2
0.400, 1.290, 0.3455, 3
0.470, 1.490, 0.3474, 4
0.440, 1.410, 0.3507, 3
0.420, 1.350, 0.3514, 4
0.460, 1.470, 0.3486, 3
0.410, 1.320, 0.3486, 2
0.450, 1.440, 0.3463, 3
0.490, 1.560, 0.3504, 2
0.430, 1.380, 0.3490, 3
0.400, 1.300, 0.3462, 3
0.480, 1.530, 0.3497, 3
0.420, 1.360, 0.3500, 3
0.450, 1.450, 0.3504, 2
0.470, 1.500, 0.3435, 4
0.440, 1.420, 0.3494, 3
0.410, 1.330, 0.3502, 2
0.460, 1.480, 0.3485, 3
0.430, 1.390, 0.3463, 3
0.400, 1.310, 0.3459, 3
0.470, 1.510, 0.3491, 2
0.490, 1.570, 0.3474, 4
0.480, 1.540, 0.3458, 3
0.420, 1.370, 0.3461, 3
0.460, 1.490, 0.3526, 3
0.440, 1.430, 0.3514, 3
0.410, 1.340, 0.3473, 3
0.430, 1.400, 0.3487, 3
0.450, 1.460, 0.3491, 4
0.400, 1.320, 0.3455, 2
0.490, 1.580, 0.3497, 3
0.470, 1.520, 0.3463, 3
0.430, 1.410, 0.3540, 2
