0.420, 1.310, 12880, 8088, 4908
0.400, 1.250, 12230, 7340, 4104
0.430, 1.340, 13179, 8442, 5288
0.450, 1.400, 13746, 9114, 6014
0.410, 1.280, 12562, 7722, 4511
0.460, 1.430, 14007, 9424, 6355
0.440, 1.370, 13469, 8783, 5658
0.470, 1.460, 14256, 9728, 6686
0.400, 1.250, 12224, 7341, 4104
0.420, 1.310, 12870, 8088, 4906
0.430, 1.340, 13176, 8446, 5290
0.440, 1.370, 13464, 8783, 5658
0.450, 1.400, 13739, 9109, 6014
0.410, 1.280, 12552, 7719, 4510
0.480, 1.490, 14493, 10016, 7008
0.460, 1.430, 14000, 9427, 6356
0.470, 1.460, 14251, 9726, 6686
0.490, 1.520, 14714, 10296, 7312
0.400, 1.250, 12223, 7341, 4104
0.420, 1.310, 12873, 8091, 4908
0.430, 1.340, 13173, 8445, 5288
0.450, 1.400, 13739, 9111, 6014
0.410, 1.280, 12552, 7723, 4509
0.440, 1.370, 13461, 8782, 5657
0.480, 1.490, 14482, 10018, 7005
0.400, 1.250, 12223, 7339, 4103
0.460, 1.430, 14001, 9427, 6355
0.490, 1.520, 14710, 10296, 7312
0.470, 1.460, 14251, 9729, 6687
0.450, 1.400, 13736, 9111, 6014
0.410, 1.280, 12553, 7722, 4509
0.430, 1.340, 13174, 8442, 5291
0.440, 1.370, 13464, 8783, 5657
0.420, 1.310, 12871, 8088, 4908
0.400, 1.250, 12219, 7337, 4103
0.460, 1.430, 13999, 9424, 6358
0.470, 1.460, 14248, 9728, 6687
0.490, 1.520, 14710, 10296, 7310
0.480, 1.490, 14488, 10016, 7008
0.410, 1.280, 12557, 7722, 4511
0.450, 1.410, 13855, 9230, 6137
0.420, 1.310, 12873, 8088, 4906
0.440, 1.380, 13582, 8905, 5785
0.460, 1.440, 14114, 9540, 6479
0.470, 1.470, 14354, 9837, 6804
0.490, 1.520, 14710, 10296, 7313
0.400, 1.260, 12359, 7476, 4241
0.480, 1.490, 14488, 10016, 7007
0.430, 1.350, 13298, 8572, 5421
0.440, 1.380, 13574, 8903, 5785
0.410, 1.290, 12689, 7855, 4649
0.420, 1.320, 13001, 8220, 5042
0.450, 1.410, 13850, 9229, 6137
0.460, 1.440, 14106, 9541, 6475
0.470, 1.470, 14352, 9841, 6804
0.400, 1.260, 12354, 7476, 4244
0.490, 1.530, 14811, 10401, 7421
0.440, 1.380, 13577, 8905, 5785
0.430, 1.350, 13294, 8570, 5421
0.450, 1.410, 13845, 9229, 6139
0.480, 1.500, 14593, 10125, 7118
0.460, 1.440, 14108, 9538, 6475
0.410, 1.290, 12680, 7854, 4649
0.470, 1.470, 14352, 9841, 6804
0.400, 1.260, 12353, 7481, 4243
0.440, 1.380, 13574, 8905, 5785
0.420, 1.320, 12994, 8219, 5042
0.490, 1.530, 14805, 10401, 7423
0.430, 1.350, 13294, 8570, 5419
0.450, 1.410, 13850, 9229, 6138
0.410, 1.290, 12680, 7854, 4649
0.460, 1.440, 14106, 9541, 6475
0.480, 1.500, 14582, 10124, 7120
0.470, 1.470, 14352, 9841, 6803
0.420, 1.320, 12990, 8223, 5042
0.430, 1.350, 13294, 8572, 5419
0.490, 1.530, 14807, 10401, 7421
0.400, 1.260, 12352, 7480, 4241
0.410, 1.290, 12679, 7853, 4649
0.440, 1.390, 13695, 9027, 5909
0.460, 1.450, 14215, 9654, 6597
0.420, 1.320, 12990, 8223, 5043
0.480, 1.500, 14588, 10124, 7118
0.450, 1.420, 13964, 9346, 6260
0.470, 1.480, 14461, 9951, 6919
0.400, 1.260, 12349, 7481, 4241
0.490, 1.530, 14807, 10401, 7420
0.410, 1.290, 12682, 7854, 4649
0.440, 1.390, 13690, 9029, 5911
0.430, 1.360, 13413, 8697, 5554
0.460, 1.450, 14213, 9654, 6594
